id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
46825,1,1,77450,"Novi Sad","Gradske lokacije",47,NULL,2020,1,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
51629,1,1,77450,"Novi Sad","Gradske lokacije",27,NULL,2020,3,4,NULL,"grejanje na gas",0.5,NULL,NULL,1,1
59052,1,1,77450,"Novi Sad","Gradske lokacije",47,NULL,2020,1,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
26609,1,1,77250,"Novi Sad","Gradske lokacije",75,NULL,2020,0,1,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
31756,1,1,77240,"Novi Sad","Gradske lokacije",65,NULL,2020,0,1,1,NULL,3,NULL,NULL,NULL,1
42916,1,1,77200,"Novi Sad","Gradske lokacije",44,NULL,2020,4,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42966,1,1,77200,"Novi Sad","Gradske lokacije",44,NULL,2020,1,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42973,1,1,77200,"Novi Sad","Gradske lokacije",44,NULL,2020,3,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42980,1,1,77200,"Novi Sad","Gradske lokacije",44,NULL,2020,2,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
49221,1,1,77050,Nis,"Gradske lokacije",67,NULL,2020,0,NULL,NULL,"etazno grejanje",2,1,NULL,1,1
41766,1,1,77000,"Novi Sad","Gradske lokacije",68,NULL,2020,0,4,NULL,"grejanje na gas",4,NULL,NULL,1,1
49426,1,1,77000,"Novi Sad","Gradske lokacije",71,NULL,2020,3,3,NULL,"etazno grejanje",3,NULL,NULL,1,1
51013,1,1,77000,Beograd,"Novi Beograd",55,NULL,2020,1,3,NULL,"etazno grejanje",2.5,NULL,NULL,1,1
49266,1,1,76900,Nis,"Gradske lokacije",66,NULL,2020,1,NULL,NULL,"etazno grejanje",2.5,1,NULL,NULL,1
53745,1,1,76640,"Novi Sad","Gradske lokacije",48,NULL,2020,1,NULL,NULL,"centralno grejanje",2,1,NULL,1,1
43166,1,1,76600,"Novi Sad","Gradske lokacije",35,NULL,2020,1,3,NULL,"centralno grejanje",2,NULL,NULL,1,1
5562,1,1,76560,"Novi Sad","Gradske lokacije",54,NULL,2020,0,4,NULL,"grejanje na gas",3,1,NULL,1,1
6028,1,1,76500,Nis,"Gradske lokacije",54,NULL,2020,1,6,NULL,"norveski radijatori",1.5,NULL,NULL,1,NULL
20872,1,1,76500,"Novi Sad","Gradske lokacije",43,NULL,2020,2,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
20920,1,1,76500,"Novi Sad","Gradske lokacije",43,NULL,2020,2,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
21084,1,1,76500,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
21089,1,1,76500,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
49841,1,1,76500,"Novi Sad","Gradske lokacije",55,NULL,2020,2,2,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
50641,1,1,76500,"Novi Sad","Gradske lokacije",55,NULL,2020,4,4,NULL,"etazno grejanje",2.5,NULL,NULL,1,NULL
43279,1,1,76480,"Novi Sad","Gradske lokacije",60,NULL,2020,2,3,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
28812,1,1,76320,Nis,"Gradske lokacije",63,NULL,2020,NULL,NULL,1,"podno grejanje",3.5,2,1,1,1
40804,1,1,76320,Nis,"Gradske lokacije",63,NULL,2020,NULL,NULL,1,"podno grejanje",3.5,2,1,1,1
17397,1,1,76220,"Novi Sad","Gradske lokacije",60,NULL,2020,0,NULL,1,"centralno grejanje",2,1,NULL,NULL,1
21073,1,1,76200,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
27805,1,1,76200,"Novi Sad","Gradske lokacije",37,NULL,2020,4,5,NULL,"centralno grejanje",2,NULL,NULL,1,1
20867,1,1,76100,"Novi Sad","Gradske lokacije",43,NULL,2020,2,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
20932,1,1,76100,"Novi Sad","Gradske lokacije",43,NULL,2020,2,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
21066,1,1,76100,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
21097,1,1,76100,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
41072,1,1,76000,Nis,"Gradske lokacije",76,NULL,2020,4,7,NULL,NULL,3,2,NULL,1,1
55877,1,1,75970,"Novi Sad","Gradske lokacije",59,NULL,2020,2,2,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
11223,1,1,75720,"Novi Sad","Gradske lokacije",45,NULL,2020,6,7,NULL,"centralno grejanje",2,NULL,NULL,1,1
13834,1,1,75600,Nis,"Gradske lokacije",54,NULL,2020,1,NULL,1,"podno grejanje",1.5,1,NULL,1,1
22553,1,1,75600,Beograd,"Novi Beograd",39,NULL,2020,0,4,NULL,"centralno grejanje",1,NULL,1,1,1
16944,1,1,75500,"Novi Sad","Gradske lokacije",56,NULL,2020,1,3,NULL,"grejanje na gas",2,NULL,NULL,NULL,1
42905,1,1,75500,"Novi Sad","Gradske lokacije",43,NULL,2020,4,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42909,1,1,75500,"Novi Sad","Gradske lokacije",43,NULL,2020,1,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42945,1,1,75500,"Novi Sad","Gradske lokacije",43,NULL,2020,3,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42893,1,1,75400,"Novi Sad","Gradske lokacije",43,NULL,2020,4,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
49374,1,1,75250,Nis,"Gradske lokacije",80,NULL,2020,1,1,1,"grejanje na struju",3,2,1,NULL,1
52573,1,1,75250,Nis,"Gradske lokacije",80,NULL,2020,1,1,1,"grejanje na struju",3,2,1,NULL,1
42660,1,1,75200,"Novi Sad","Gradske lokacije",52,NULL,2020,0,4,NULL,NULL,2,NULL,NULL,1,NULL
43082,1,1,75200,"Novi Sad","Gradske lokacije",73,NULL,2020,2,2,NULL,"grejanje na gas",2.5,NULL,NULL,NULL,1
53672,1,1,75190,"Novi Sad","Gradske lokacije",56,NULL,2020,2,NULL,NULL,NULL,3,1,1,NULL,1
60499,1,1,75190,"Novi Sad","Gradske lokacije",43,NULL,2020,1,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
7402,1,1,75000,Beograd,"Vozdovac opstina",59,NULL,2020,0,6,0,"etazno grejanje",2.5,NULL,1,1,1
11659,1,1,75000,Beograd,"Zvezdara opstina",47,NULL,2020,0,5,1,"centralno grejanje",2,1,NULL,1,NULL
29255,1,1,75000,Nis,"Gradske lokacije",67,NULL,2020,NULL,NULL,NULL,NULL,3,1,NULL,1,1
29380,1,1,75000,Nis,"Gradske lokacije",67,NULL,2020,NULL,NULL,NULL,NULL,3,1,NULL,1,1
29418,1,1,75000,Nis,"Gradske lokacije",83,NULL,2020,1,NULL,0,NULL,3,1,NULL,NULL,NULL
39214,1,1,75000,Kragujevac,"Gradske lokacije",66,NULL,2020,2,6,1,"centralno grejanje",2,1,NULL,1,1
49638,1,1,75000,"Novi Sad","Gradske lokacije",52,NULL,2020,0,3,NULL,NULL,2.5,NULL,NULL,1,1
26260,1,1,74900,Beograd,"Zvezdara opstina",44,NULL,2020,1,3,NULL,"etazno grejanje",1.5,1,1,1,1
17442,1,1,74800,"Novi Sad","Gradske lokacije",66,NULL,2020,0,2,NULL,"centralno grejanje",3,NULL,NULL,NULL,NULL
26425,1,1,74800,Beograd,"Zvezdara opstina",44,NULL,2020,2,3,NULL,"etazno grejanje",1.5,1,1,1,1
50863,1,1,74800,Beograd,"Zemun opstina",68,NULL,2020,4,4,NULL,"etazno grejanje",3.5,1,1,NULL,1
51167,1,1,74800,Beograd,"Zemun opstina",68,NULL,2020,4,4,NULL,"etazno grejanje",3.5,1,1,NULL,1
43281,1,1,74780,"Novi Sad","Gradske lokacije",66,NULL,2020,0,2,1,NULL,3.5,NULL,NULL,NULL,1
45105,1,1,74700,"Novi Sad","Gradske lokacije",66,NULL,2020,0,2,NULL,"etazno grejanje",3.5,NULL,NULL,NULL,NULL
